Art.º 87A,Autorização de residência para cidadãos da Comunidade dos Países de Língua Portuguesa
CR 0,Certificado de Residência de cidadão da EU
Art.º 88 n.º 2,Autorização de residência para exercício de atividade profissional subordinada com dispensa Visto de Residência válido
CR 15,Cartão de Residência de familiar do Cidadão da EU nacional de Estado Terceiro
Art.º 98 n.º 2,Direito ao reagrupamento familiar (cujos membros da família tenham entrado legalmente em TN e com AR válida)
Art.º 91 n.º 1,Autorização de residência para estudantes do ensino superior titular de Visto de Residência
Art.º 88 n.º 1,Autorização de residência para exercício de atividade profissional subordinada
Art.º 98 n.º 1,Direito ao reagrupamento familiar (cujos membros da família se encontrem fora do território nacional)
Art.º 77 n.º 1,Condições gerais de concessão de autorização de residência temporária
Art.º 92 n.º 3,Autorização de residência para estudantes do ensino superior com dispensa Visto de Residência válido
Art.º 122 n.º 1 k,Autorização de residência com dispensa de Visto de Residência que tenham filhos menores residentes em Portugal ou com nacionalidade portuguesa sobre os quais exerçam efetivamente as responsabilidades parentais
Art.º 89 n.º 2,Autorização de residência para exercício de atividade profissional independente ou para imigrantes empreendedores com dispensa Visto de Residência válido