Nacionalidade,Pop_Residente_Total,Pop_Residente_Masculino,Pop_Residente_Feminino,Concessao_Total,Concessao_Masculino,Concessao_Feminino
Afeganistão,970,557,413,332,199,133
África do Sul,3325,1656,1669,773,384,389
Albânia,120,64,56,30,13,17
Alemanha,22858,11968,10890,5483,2894,2589
Andorra,17,10,7,3,2,1
Angola,55589,25209,30380,24374,11265,13109
Antígua e Barbuda,20,12,8,3,2,1
Apátrida,12,6,6,0,0,0
Arábia Saudita,203,116,87,7,6,1
Argélia,2023,1471,552,942,760,182
Argentina,1633,836,797,638,337,301
Arménia,148,52,96,56,22,34
Austrália,904,505,399,258,141,117
Áustria,1810,910,900,464,214,250
Azerbaijão,107,58,49,19,13,6
Bahamas,3,2,1,0,0,0
Bahrein,23,13,10,2,1,1
Bangladesh,25666,20395,5271,10077,7492,2585
Barbados,4,4,0,1,1,0
Bélgica,6723,3782,2941,1623,956,667
Belize,7,4,3,0,0,0
Benin,29,22,7,10,7,3
Bermudas,7,3,4,3,2,1
Bielorrússia,1077,441,636,370,178,192
Bolívia,185,74,111,38,18,20
Bósnia e Herzegovina,66,25,41,7,4,3
Botswana,16,4,12,2,0,2
Brasil,368449,181073,187376,147262,79009,68253
Brunei,4,2,2,1,1,0
Bulgária,4565,2218,2347,260,134,126
Burkina Faso,32,24,8,6,3,3
Burundi,12,6,6,1,1,0
Butão,13,6,7,2,1,1
Cabo Verde,48885,23728,25157,14623,7261,7362
Camarões,356,220,136,58,39,19
Cambodja,98,47,51,17,9,8
Canadá,2200,1148,1052,638,318,320
Cazaquistão,815,406,409,107,52,55
Chade,2,1,1,0,0,0
Chile,895,444,451,381,195,186
China,27873,13865,14008,1415,623,792
Chipre,219,129,90,77,43,34
Colômbia,3092,1547,1545,1091,608,483
Comores,3,1,2,1,0,1
Congo,101,42,59,21,10,11
Congo (Rep. Democrática),317,160,157,41,20,21
Coreia do Sul,365,151,214,100,43,57
Costa do Marfim,240,157,83,62,44,18
Costa Rica,131,61,70,39,21,18
Croácia,516,211,305,145,58,87
Cuba,1807,915,892,436,231,205
Desconhecido,20,13,7,2,2,0
Dinamarca,1800,1075,725,424,275,149
Djibuti,7,5,2,0,0,0
Dominica,27,24,3,5,4,1
Egipto,1007,617,390,264,171,93
El Salvador,103,59,44,32,22,10
Emiratos Árabes Unidos,31,17,14,4,1,3
Equador,1146,593,553,391,206,185
Eritreia,154,115,39,9,7,2
Eslováquia,579,216,363,181,83,98
Eslovénia,327,140,187,93,42,51
Espanha,20573,10693,9880,4282,2341,1941
Estados Unidos América,14126,7038,7088,4823,2382,2441
Estónia,439,174,265,124,54,70
Etiópia,94,49,45,29,17,12
Fidji (Ilhas),3,2,1,2,2,0
Filipinas,1535,407,1128,377,115,262
Finlândia,1300,609,691,280,109,171
França,27549,14575,12974,5138,2826,2312
Gabão,28,14,14,3,2,1
Gâmbia,716,648,68,277,256,21
Gana,349,259,90,86,66,20
Geórgia,507,278,229,94,54,40
Granada,9,6,3,4,3,1
Grécia,1134,695,439,316,213,103
Guatemala,112,57,55,22,13,9
Guiana,10,5,5,1,0,1
Guiné,1325,899,426,344,218,126
Guiné-Bissau,32535,18671,13864,10320,6286,4034
Guiné Equatorial,55,25,30,8,4,4
Haiti,20,16,4,3,3,0
Honduras,76,31,45,16,5,11
Hong Kong,250,120,130,38,21,17
Hungria,1456,614,842,424,192,232
Iémen,52,36,16,8,6,2
Índia,44051,33813,10238,12185,7928,4257
Indonésia,1031,834,197,264,228,36
Irão,2456,1323,1133,486,266,220
Iraque,717,369,348,87,37,50
Irlanda,5450,3220,2230,1875,1127,748
Islândia,213,121,92,74,44,30
Israel,922,485,437,380,195,185
Itália,36227,20547,15680,8804,5000,3804
Jamaica,19,8,11,3,1,2
Japão,649,265,384,134,51,83
Jordânia,581,322,259,53,34,19
Kiribati,1,1,0,0,0,0
Kosovo,32,15,17,8,5,3
Kuwait,85,44,41,8,5,3
Laos,3,0,3,0,0,0
Lesoto,1,0,1,0,0,0
Letónia,896,343,553,256,111,145
Líbano,1116,655,461,255,158,97
Libéria,23,16,7,4,2,2
Líbia,160,86,74,11,10,1
Liechtenstein,12,6,6,3,1,2
Lituânia,1134,382,752,260,105,155
Luxemburgo,726,395,331,221,120,101
Macau,4,0,4,1,0,1
Macedónia,85,30,55,22,5,17
Madagáscar,27,9,18,13,6,7
Malásia,170,62,108,37,17,20
Malawi,27,9,18,8,2,6
Maldivas,8,1,7,0,0,0
Mali,88,76,12,18,16,2
Malta,184,104,80,61,40,21
Marrocos,3739,2426,1313,1190,908,282
Marshall (Ilhas),1,1,0,0,0,0
Maurícias (Ilhas),55,29,26,10,4,6
Mauritânia,31,27,4,8,7,1
México,995,419,576,225,100,125
Moçambique,8127,3914,4213,3477,1842,1635
Moldávia,5156,2490,2666,509,270,239
Mongólia,29,5,24,4,1,3
Montenegro,23,14,9,4,1,3
Myanmar (Birmânia),17,5,12,5,3,2
Namíbia,48,18,30,10,4,6
Nepal,29972,17936,12036,7837,3868,3969
Nicarágua,66,27,39,16,6,10
Níger,11,8,3,3,2,1
Nigéria,1478,1017,461,481,332,149
Noruega,1196,718,478,268,156,112
Nova Zelândia,207,121,86,70,44,26
Oman,8,4,4,2,1,1
Países Baixos,13592,7283,6309,3177,1726,1451
Palestina,91,53,38,12,6,6
Panamá,99,35,64,17,7,10
Papua-Nova Guiné,2,1,1,0,0,0
Paquistão,17148,13266,3882,6869,5514,1355
Paraguai,206,66,140,54,22,32
Peru,923,488,435,338,222,116
Polónia,4931,1858,3073,1373,551,822
Qatar,13,10,3,2,2,0
Quénia,176,73,103,45,23,22
Quirguistão,44,21,23,10,7,3
Reino Unido,47409,26228,21181,7365,4099,3266
Reino Unido (British Subject),76,36,40,32,14,18
República centro-africana,5,3,2,1,1,0
República Checa,838,343,495,240,114,126
República Dominicana,230,88,142,48,26,22
Roménia,20881,10679,10202,1255,671,584
Ruanda,42,22,20,18,13,5
Rússia,10901,4950,5951,4893,2441,2452
Samoa,2,1,1,0,0,0
Santa Lúcia,4,2,2,1,1,0
São Cristóvão e Nevis,77,48,29,10,6,4
São Tomé e Príncipe,26488,12928,13560,14504,7386,7118
São Vicente e Granadinas,1,1,0,0,0,0
Senegal,2571,2056,515,713,619,94
Serra Leoa,155,118,37,20,19,1
Sérvia,339,145,194,66,28,38
Seychelles,8,2,6,1,0,1
Singapura,156,61,95,44,17,27
Síria,1434,780,654,173,85,88
Somália,87,67,20,22,19,3
Sri Lanka,203,135,68,78,61,17
Suazilândia,18,9,9,6,3,3
Sudão,203,118,85,27,18,9
Sudão do Sul,74,35,39,4,3,1
Suécia,6070,3351,2719,1129,625,504
Suíça,3836,2009,1827,808,438,370
Suriname,8,3,5,3,1,2
Tailândia,2144,1247,897,364,192,172
Taiwan,74,28,46,17,7,10
Tajiquistão,46,22,24,10,6,4
Tanzânia,55,30,25,8,6,2
Timor-Leste,1199,778,421,864,640,224
Togo,68,49,19,7,6,1
Trindade e Tobago,26,17,9,8,5,3
Tunísia,1172,707,465,394,269,125
Turquemenistão,14,6,8,0,0,0
Turquia,2555,1336,1219,554,301,253
Ucrânia,23499,10581,12918,1179,597,582
Uganda,60,30,30,11,4,7
Uruguai,267,140,127,43,28,15
Uzbequistão,1333,828,505,146,86,60
Vanuatu,9,8,1,4,3,1
Venezuela,9300,3906,5394,1446,662,784
Vietname,1052,537,515,159,84,75
Zâmbia,28,13,15,5,2,3
Zimbabwe,118,54,64,28,16,12
