Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818;Município;Sernancelhe;2 183;29 274;27 077;13 410;4 200;6 338;7 168;7 839;8 695;9 754;11 133;14 046;16 415;17 832;24 911;4 021;6 289;7 146;7 820;8 657;9 484;10 772;13 429;15 600;17 298;22 826;37,0;2,8;5,7;;;;;;;;;;;
1819;Município;Tabuaço;2 027;27 551;25 337;13 592;3 778;5 748;6 523;7 325;8 559;9 675;11 521;14 162;16 008;18 248;25 995;3 718;5 748;6 477;7 312;8 525;9 443;11 121;13 648;15 280;17 553;23 145;39,0;3,1;6,2;;;;;;;;;;;
1820;Município;Tarouca;2 891;40 744;37 769;14 093;3 882;6 315;7 205;8 097;8 944;10 088;12 202;15 720;17 619;19 721;27 590;3 857;6 249;7 200;8 065;8 891;9 832;11 788;14 949;16 998;18 679;25 013;38,0;3,0;6,5;;;;;;;;;;;
0409;Município;Torre de Moncorvo;3 304;47 361;43 242;14 334;3 934;6 059;6 942;7 859;8 890;10 369;12 298;15 251;17 301;19 878;27 972;3 934;6 050;6 894;7 799;8 881;9 995;11 707;14 434;16 522;18 357;25 055;38,6;3,0;6,4;;;;;;;;;;;
0914;Município;Vila Nova de Foz Côa;3 084;43 633;39 752;14 148;3 459;5 707;6 494;7 278;8 635;10 044;12 224;15 091;16 857;19 821;29 309;3 402;5 647;6 456;7 245;8 575;9 682;11 667;14 316;15 943;18 311;25 938;40,1;3,2;7,6;;;;;;;;;;;
1714;Município;Vila Real;23 551;463 336;407 831;19 674;4 682;7 192;8 216;8 732;10 339;12 594;16 364;21 563;24 702;28 718;42 880;4 650;7 141;8 157;8 686;10 008;12 093;15 501;20 001;22 563;25 803;35 945;42,2;3,6;7,7;;;;;;;;;;;
11E;NUTS 3;   Terras de Trás-os-Montes;50 974;837 031;753 040;16 421;4 200;6 344;7 269;8 180;9 267;10 967;13 699;17 775;20 424;23 510;34 295;4 140;6 298;7 230;8 139;9 151;10 615;13 117;16 821;19 038;21 455;29 944;40,7;3,4;7,2;;;;;;;;;;;
0401;Município;Alfândega da Fé;2 093;29 176;26 774;13 940;3 963;5 849;6 618;7 415;8 616;9 682;11 339;14 497;16 472;18 947;28 661;3 936;5 788;6 599;7 365;8 586;9 407;11 070;13 965;15 603;17 876;25 846;39,2;3,1;6,6;;;;;;;;;;;
0402;Município;Bragança;16 622;319 947;282 212;19 248;4 421;7 170;8 213;8 788;10 482;12 976;16 802;21 855;24 400;27 846;40 821;4 364;7 111;8 173;8 753;10 127;12 413;15 828;20 071;22 208;25 007;34 317;41,3;3,5;7,9;;;;;;;;;;;
0405;Município;Macedo de Cavaleiros;6 556;96 699;87 890;14 750;3 656;5 830;6 545;7 395;8 616;9 793;11 860;15 328;17 461;20 549;30 722;3 600;5 763;6 540;7 368;8 609;9 572;11 423;14 697;16 679;19 057;26 931;41,3;3,3;7,5;;;;;;;;;;;
0406;Município;Miranda do Douro;3 248;51 815;47 117;15 953;4 529;6 540;7 448;8 307;9 501;11 389;14 495;18 182;20 204;22 917;32 495;4 432;6 538;7 390;8 277;9 252;10 940;13 719;17 103;19 010;20 769;28 520;38,5;3,2;6,4;;;;;;;;;;;
0407;Município;Mirandela;9 945;163 508;147 596;16 441;4 291;6 508;7 407;8 293;9 353;11 142;13 868;17 718;20 369;23 449;34 530;4 268;6 455;7 340;8 255;9 159;10 779;13 264;16 845;18 962;21 471;30 278;40,3;3,3;7,1;;;;;;;;;;;
0408;Município;Mogadouro;4 018;60 536;54 928;15 066;4 336;6 256;7 154;7 871;8 794;10 147;12 353;16 101;18 301;21 064;30 797;4 282;6 191;7 100;7 823;8 737;9 939;11 873;15 190;17 254;19 354;26 787;39,5;3,1;6,3;;;;;;;;;;;
0410;Município;Vila Flor;2 718;37 966;34 896;13 968;3 864;5 999;6 773;7 444;8 685;9 882;11 695;14 504;16 736;18 979;28 457;3 845;5 934;6 734;7 378;8 652;9 647;11 270;13 937;15 861;18 046;25 234;39,3;3,0;6,6;;;;;;;;;;;
0411;Município;Vimioso;2 038;28 108;25 852;13 792;3 689;5 977;6 604;7 484;8 568;9 723;11 682;14 827;16 808;19 347;27 291;3 579;5 852;6 600;7 409;8 508;9 489;11 193;14 034;15 740;18 123;24 753;39,1;3,1;6,9;;;;;;;;;;;
0412;Município;Vinhais;3 736;49 277;45 774;13 190;4 282;6 004;6 605;7 302;8 511;9 586;11 210;13 877;16 114;18 590;25 567;4 231;5 983;6 600;7 243;8 494;9 403;10 931;13 496;15 347;17 507;23 316;36,9;2,9;5,5;;;;;;;;;;;
16;NUTS 2;  Centro;1 105 082;19 743 890;17 637 929;17 866;5 120;7 556;8 400;8 934;10 405;12 368;15 204;19 130;21 786;24 942;35 840;5 072;7 511;8 400;8 896;10 042;11 836;14 399;17 946;20 242;22 849;31 122;39,0;3,0;6,1;;;;;;;;;;;
16B;NUTS 3;   Oeste;182 726;3 142 853;2 819 716;17 200;4 848;7 256;8 223;8 727;10 089;11 935;14 638;18 346;20 947;23 934;34 369;4 801;7 223;8 176;8 694;9 767;11 447;13 884;17 289;19 486;22 053;30 094;39,1;3,1;6,3;;;;;;;;;;;
1001;Município;Alcobaça;27 682;452 789;412 083;16 357;5 392;7 683;8 400;8 875;10 202;11 925;14 365;17 645;19 912;22 650;31 191;5 359;7 652;8 400;8 843;9 863;11 418;13 666;16 752;18 655;21 171;27 906;36,4;2,8;5,2;;;;;;;;;;;
1101;Município;Alenquer;22 173;395 002;355 455;17 815;5 362;7 802;8 575;9 187;10 778;12 804;15 644;19 649;22 225;25 164;35 184;5 316;7 777;8 546;9 151;10 386;12 199;14 701;18 321;20 666;23 167;30 839;37,8;3,0;5,8;;;;;;;;;;;
1102;Município;Arruda dos Vinhos;6 824;148 016;129 005;21 691;5 718;8 217;8 851;9 775;11 782;14 554;18 201;23 146;26 330;30 714;46 411;5 621;8 159;8 809;9 442;11 293;13 755;16 977;21 282;24 138;27 409;39 214;41,1;3,4;7,0;;;;;;;;;;;
1005;Município;Bombarral;6 116;97 499;88 190;15 942;4 680;6 858;7 800;8 400;9 583;11 182;13 488;16 773;18 878;21 998;31 040;4 614;6 816;7 721;8 400;9 310;10 799;12 882;15 828;17 785;20 503;27 535;38,7;3,0;6,0;;;;;;;;;;;
1104;Município;Cadaval;6 286;100 280;91 074;15 953;4 631;6 834;7 692;8 400;9 603;11 404;13 971;17 188;19 268;22 207;31 575;4 618;6 781;7 652;8 400;9 347;10 974;13 311;16 249;18 103;20 565;28 120;38,5;3,0;6,1;;;;;;;;;;;
1006;Município;Caldas da Rainha;26 493;457 005;407 687;17 250;4 517;7 000;7 949;8 526;9 822;11 685;14 390;18 324;21 017;23 963;35 341;4 457;6 951;7 876;8 480;9 551;11 254;13 680;17 213;19 452;21 967;30 625;40,3;3,2;6,9;;;;;;;;;;;
1108;Município;Lourinhã;12 975;211 614;190 729;16 309;4 282;6 775;7 716;8 407;9 635;11 405;13 829;17 363;19 702;22 845;33 081;4 219;6 710;7 676;8 400;9 374;10 993;13 214;16 443;18 421;21 042;28 992;39,6;3,1;6,9;;;;;;;;;;;
1011;Município;Nazaré;7 874;122 888;111 633;15 607;4 200;6 658;7 695;8 400;9 682;11 336;13 745;16 948;19 149;21 925;30 603;4 168;6 601;7 627;8 400;9 364;10 864;13 118;16 005;17 920;20 472;27 273;38,3;3,1;6,5;;;;;;;;;;;
1012;Município;Óbidos;5 834;97 932;88 130;16 787;4 463;6 964;7 874;8 434;9 797;11 572;14 157;17 671;20 160;22 960;33 228;4 354;6 881;7 828;8 400;9 474;11 115;13 487;16 819;18 890;21 457;29 589;40,1;3,1;6,8;;;;;;;;;;;
1014;Município;Peniche;13 303;219 758;198 885;16 519;4 757;7 242;8 130;8 680;10 030;11 795;14 361;17 933;20 300;23 249;32 685;4 707;7 219;8 081;8 635;9 692;11 370;13 753;17 030;19 086;21 357;28 757;38,1;3,0;6,1;;;;;;;;;;;
1112;Município;Sobral de Monte Agraço;5 172;93 868;83 601;18 149;5 081;7 457;8 400;8 900;10 280;12 398;15 387;19 562;21 961;25 164;37 053;5 025;7 414;8 400;8 870;9 983;11 801;14 544;18 177;20 481;22 968;32 128;39,8;3,1;6,4;;;;;;;;;;;
1113;Município;Torres Vedras;41 994;746 201;663 244;17 769;4 795;7 252;8 210;8 702;10 038;11 878;14 744;18 781;21 501;24 725;36 068;4 746;7 217;8 161;8 671;9 711;11 373;13 974;17 565;19 961;22 618;31 309;40,2;3,1;6,6;;;;;;;;;;;
16D;NUTS 3;   Região de Aveiro;185 358;3 389 886;3 016 489;18 288;5 020;7 587;8 400;9 011;10 557;12 578;15 412;19 551;22 267;25 456;36 839;4 982;7 539;8 400;8 975;10 188;11 990;14 557;18 292;20 690;23 321;31 821;39,6;3,1;6,4;;;;;;;;;;;
0101;Município;Águeda;23 868;410 123;371 507;17 183;5 459;7 812;8 449;8 960;10 262;12 034;14 452;18 115;20 601;23 512;33 030;5 450;7 782;8 420;8 932;9 928;11 553;13 835;17 251;19 501;21 950;29 445;37,9;2,8;5,4;;;;;;;;;;;
0102;Município;Albergaria-a-Velha;12 508;211 571;192 784;16 915;5 309;7 786;8 494;9 097;10 585;12 547;15 030;18 636;21 033;23 734;32 535;5 294;7 751;8 480;9 059;10 218;12 004;14 191;17 565;19 649;22 150;29 216;36,7;2,9;5,5;;;;;;;;;;;
0103;Município;Anadia;14 252;239 740;214 944;16 821;4 833;7 045;8 011;8 606;9 859;11 547;13 970;17 369;19 864;22 895;32 448;4 789;7 000;7 970;8 575;9 547;11 122;13 296;16 515;18 598;21 262;28 924;39,4;3,0;6,0;;;;;;;;;;;
0105;Município;Aveiro;41 538;907 674;780 854;21 852;5 356;8 127;8 865;9 671;11 673;14 355;18 249;23 669;27 110;31 280;46 413;5 296;8 076;8 827;9 354;11 137;13 538;16 889;21 586;24 231;27 466;38 267;41,5;3,4;7,2;;;;;;;;;;;
0108;Município;Estarreja;13 248;225 375;203 866;17 012;4 915;7 367;8 400;8 977;10 436;12 340;14 896;18 644;21 088;24 011;33 246;4 872;7 332;8 390;8 949;10 045;11 762;14 093;17 518;19 737;22 216;29 530;37,9;3,0;6,1;;;;;;;;;;;
0110;Município;Ílhavo;19 760;376 466;332 413;19 052;4 693;7 542;8 424;9 123;10 860;13 080;16 208;20 780;23 594;26 919;39 201;4 682;7 496;8 400;9 064;10 458;12 406;15 231;19 218;21 660;24 310;33 403;40,3;3,2;7,1;;;;;;;;;;;
0112;Município;Murtosa;4 714;75 971;68 377;16 116;3 213;5 850;7 025;8 141;9 380;11 233;13 798;17 470;20 173;22 974;34 322;3 168;5 763;6 942;8 107;9 155;10 801;13 029;16 585;18 901;21 331;29 561;41,7;3,7;9,3;;;;;;;;;;;
0114;Município;Oliveira do Bairro;11 019;183 333;167 218;16 638;5 009;7 347;8 257;8 746;10 074;11 894;14 625;18 536;20 874;23 496;32 933;4 980;7 286;8 216;8 719;9 741;11 409;13 896;17 599;19 635;22 037;29 103;37,9;3,0;5,8;;;;;;;;;;;
0115;Município;Ovar;28 129;503 682;451 261;17 906;5 161;7 725;8 434;9 090;10 647;12 591;15 248;19 120;21 778;24 940;35 849;5 124;7 679;8 400;9 048;10 255;11 990;14 458;17 977;20 322;22 966;31 188;38,7;3,0;6,1;;;;;;;;;;;
0117;Município;Sever do Vouga;5 642;88 618;81 323;15 707;4 938;7 258;8 139;8 684;10 053;11 614;13 869;17 150;19 508;22 279;30 244;4 866;7 239;8 111;8 652;9 753;11 225;13 207;16 228;18 278;20 866;27 290;36,4;2,9;5,6;;;;;;;;;;;
0118;Município;Vagos;10 680;167 332;151 943;15 668;4 400;6 816;7 816;8 404;9 649;11 155;13 429;16 750;18 828;21 552;30 141;4 369;6 780;7 772;8 400;9 358;10 752;12 822;15 911;17 810;20 319;27 057;38,3;3,0;6,2;;;;;;;;;;;
16E;NUTS 3;   Região de Coimbra;219 325;4 281 761;3 762 068;19 522;5 369;7 840;8 578;9 187;10 833;13 153;16 411;20 866;23 717;27 243;40 045;5 329;7 800;8 548;9 150;10 449;12 551;15 445;19 392;21 783;24 568;33 842;40,1;3,1;6,4;;;;;;;;;;;
0601;Município;Arganil;5 330;76 466;71 245;14 346;4 854;7 047;7 869;8 400;9 255;10 587;12 827;15 742;17 401;19 535;27 010;4 801;7 003;7 854;8 400;9 158;10 304;12 354;15 040;16 814;18 588;24 640;35,7;2,7;5,1;;;;;;;;;;;
0602;Município;Cantanhede;16 646;272 694;247 015;16 382;4 539;6 780;7 764;8 478;9 786;11 496;14 100;17 873;20 308;23 441;33 291;4 502;6 780;7 720;8 455;9 492;11 088;13 436;16 898;19 071;21 744;29 280;39,0;3,2;6,5;;;;;;;;;;;
0603;Município;Coimbra;73 351;1 790 721;1 509 025;24 413;5 859;8 486;9 239;10 179;12 500;15 689;20 197;26 097;30 056;35 251;53 101;5 806;8 441;9 151;9 825;11 918;14 724;18 597;23 306;26 232;30 003;42 676;42,1;3,6;7,4;;;;;;;;;;;
0604;Município;Condeixa-a-Nova;7 984;159 065;142 032;19 923;5 578;8 312;8 951;9 684;11 758;14 465;17 865;22 551;25 639;29 162;41 118;5 577;8 280;8 920;9 417;11 271;13 722;16 789;21 177;23 456;26 330;35 422;38,3;3,2;6,4;;;;;;;;;;;
0605;Município;Figueira da Foz;30 160;597 744;524 882;19 819;5 338;7 980;8 688;9 380;11 202;13 570;17 124;21 968;24 791;28 353;40 324;5 301;7 949;8 670;9 156;10 779;12 907;16 030;20 235;22 528;25 257;34 026;39,7;3,2;6,4;;;;;;;;;;;
0606;Município;Góis;1 886;26 981;25 074;14 306;4 916;7 064;7 821;8 400;9 456;10 707;12 929;15 881;17 603;19 419;27 224;4 903;6 973;7 800;8 400;9 165;10 430;12 362;15 228;16 773;18 436;24 876;34,9;2,6;5,1;;;;;;;;;;;
0607;Município;Lousã;8 147;139 550;126 746;17 129;5 032;7 647;8 433;9 002;10 500;12 608;15 861;19 589;21 866;24 509;33 805;4 985;7 615;8 400;8 976;10 135;12 076;14 934;18 435;20 422;22 602;29 606;37,2;3,0;5,9;;;;;;;;;;;
0111;Município;Mealhada;9 889;176 669;159 924;17 865;5 423;7 955;8 681;9 286;10 868;13 031;15 865;19 907;22 585;25 462;35 700;5 406;7 906;8 649;9 156;10 458;12 424;14 992;18 746;21 108;23 633;31 147;37,3;3,0;5,8;;;;;;;;;;;
0608;Município;Mira;5 756;94 687;84 993;16 450;4 593;6 739;7 817;8 453;9 618;11 422;13 754;17 216;19 413;22 692;33 395;4 544;6 663;7 770;8 421;9 340;10 943;13 050;16 244;18 212;20 880;29 185;39,6;3,1;6,4;;;;;;;;;;;
0609;Município;Miranda do Corvo;5 735;92 645;85 085;16 154;5 369;7 609;8 400;8 962;10 234;12 011;14 616;17 921;20 001;22 625;30 431;5 341;7 572;8 400;8 937;9 929;11 527;13 864;17 136;18 975;21 280;27 659;35,8;2,8;5,2;;;;;;;;;;;
0610;Município;Montemor-o-Velho;12 025;211 831;192 842;17 616;5 920;8 187;8 793;9 392;11 042;13 195;15 957;19 960;22 373;24 990;33 896;5 914;8 164;8 772;9 151;10 632;12 536;15 134;18 641;20 745;23 114;30 131;35,7;2,8;5,1;;;;;;;;;;;
1808;Município;Mortágua;4 420;67 550;62 061;15 283;4 780;7 200;8 158;8 720;9 819;11 353;13 430;16 613;18 634;21 054;28 868;4 737;7 194;8 141;8 688;9 500;10 977;12 815;15 704;17 642;19 784;26 088;36,4;2,7;5,5;;;;;;;;;;;
0611;Município;Oliveira do Hospital;9 251;136 858;127 015;14 794;5 215;7 299;8 091;8 509;9 384;10 804;13 059;16 526;18 051;20 191;28 006;5 183;7 251;8 078;8 494;9 151;10 470;12 668;15 860;17 504;19 270;25 594;35,4;2,7;4,9;;;;;;;;;;;
0612;Município;Pampilhosa da Serra;1 744;25 330;23 612;14 524;5 466;7 326;8 217;8 654;9 564;10 996;13 347;16 384;17 911;19 836;27 101;5 466;7 319;8 207;8 644;9 350;10 653;12 725;15 700;17 342;18 716;25 033;33,3;2,6;4,6;;;;;;;;;;;
0613;Município;Penacova;6 715;97 305;90 572;14 491;4 800;6 838;7 736;8 422;9 606;11 010;13 277;16 413;18 375;20 795;27 662;4 760;6 785;7 681;8 403;9 324;10 699;12 726;15 599;17 504;19 502;25 237;35,1;2,9;5,3;;;;;;;;;;;
0614;Município;Penela;2 674;40 380;36 941;15 101;4 682;6 700;7 498;8 310;9 220;10 566;12 957;16 549;18 690;21 237;29 330;4 603;6 661;7 479;8 280;9 151;10 315;12 464;15 634;17 714;19 958;26 655;37,6;3,0;5,8;;;;;;;;;;;
0615;Município;Soure;8 695;149 043;135 960;17 141;5 612;8 062;8 713;9 306;10 867;12 824;15 662;19 574;21 917;24 754;33 550;5 564;8 025;8 678;9 151;10 450;12 242;14 753;18 435;20 415;22 874;29 836;35,6;2,9;5,4;;;;;;;;;;;
0616;Município;Tábua;5 481;75 866;70 531;13 842;4 541;6 619;7 477;8 307;9 082;10 092;11 919;14 942;16 871;18 535;25 771;4 525;6 600;7 456;8 270;9 052;9 783;11 556;14 351;16 203;17 939;23 858;35,9;2,7;5,3;;;;;;;;;;;
0617;Município;Vila Nova de Poiares;3 436;50 379;46 514;14 662;4 282;6 738;7 612;8 400;9 364;10 969;12 901;16 284;18 231;20 979;28 963;4 265;6 708;7 599;8 400;9 151;10 476;12 313;15 376;17 406;19 759;26 269;37,0;2,9;6,2;;;;;;;;;;;
16F;NUTS 3;   Região de Leiria;143 821;2 587 603;2 319 316;17 992;5 380;7 908;8 612;9 223;10 837;12 891;15 670;19 626;22 254;25 404;35 416;5 328;7 868;8 574;9 151;10 430;12 274;14 765;18 255;20 654;23 224;31 049;37,9;3,0;5,8;;;;;;;;;;;
1002;Município;Alvaiázere;2 904;40 766;37 690;14 038;4 882;6 770;7 470;8 192;9 059;10 274;12 262;15 193;16 853;19 081;26 845;4 855;6 707;7 440;8 149;9 001;9 964;11 827;14 424;16 160;17 970;24 468;35,6;2,7;5,0;;;;;;;;;;;
1003;Município;Ansião;5 580;83 552;77 125;14 974;4 983;7 069;7 879;8 496;9 517;10 989;13 055;16 240;18 199;20 620;29 447;4 963;7 016;7 847;8 454;9 273;10 569;12 525;15 422;17 379;19 427;26 742;36,1;2,8;5,4;;;;;;;;;;;
1004;Município;Batalha;7 865;137 268;124 566;17 453;5 354;7 918;8 578;9 160;10 747;12 840;15 465;19 575;21 910;24 832;33 997;5 332;7 871;8 524;9 128;10 370;12 160;14 666;18 171;20 542;23 045;30 261;37,2;2,9;5,7;;;;;;;;;;;
1007;Município;Castanheira de Pêra;1 379;19 357;18 033;14 037;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;
1008;Município;Figueiró dos Vinhos;2 710;38 666;35 586;14 268;4 452;6 770;7 483;8 103;9 059;10 409;12 137;15 380;17 141;19 577;28 502;4 393;6 747;7 440;8 077;9 027;10 146;11 751;14 621;16 356;18 437;25 308;36,4;2,7;5,8;;;;;;;;;;;
1009;Município;Leiria;64 890;1 269 179;1 121 801;19 559;5 486;8 227;8 847;9 582;11 418;13 731;16 861;21 484;24 294;27 652;39 280;5 459;8 172;8 810;9 266;10 940;12 975;15 766;19 853;22 255;25 014;33 566;38,9;3,1;6,1;;;;;;;;;;;
1010;Município;Marinha Grande;20 760;391 300;349 026;18 849;5 526;8 358;9 024;9 858;11 728;14 008;16 866;21 004;23 565;26 888;36 766;5 516;8 324;8 994;9 500;11 184;13 232;15 728;19 365;21 640;24 302;32 009;37,1;2,9;5,8;;;;;;;;;;;
1013;Município;Pedrógão Grande;1 786;23 868;22 243;13 364;4 547;6 583;7 232;7 744;8 871;9 951;11 645;14 390;16 403;18 578;24 951;4 547;6 557;7 204;7 734;8 850;9 687;11 316;13 739;15 570;17 330;22 781;35,4;2,6;5,0;;;;;;;;;;;
1015;Município;Pombal;24 401;394 186;360 302;16 155;5 032;7 636;8 400;8 960;10 360;12 073;14 493;17 851;20 075;22 700;31 028;4 960;7 569;8 400;8 913;9 988;11 554;13 739;16 800;18 708;21 225;27 996;36,2;2,8;5,6;;;;;;;;;;;
1016;Município;Porto de Mós;11 546;189 460;172 942;16 409;5 504;7 916;8 527;9 000;10 302;11 951;14 490;17 757;20 242;22 881;31 356;5 489;7 883;8 495;8 965;9 973;11 477;13 765;16 776;18 911;21 362;28 176;35,9;2,7;5,1;;;;;;;;;;;
16G;NUTS 3;   Viseu Dão Lafões;115 875;2 002 894;1 802 356;17 285;4 980;7 396;8 361;8 824;10 117;11 983;14 767;18 583;21 077;24 156;34 597;4 940;7 354;8 330;8 797;9 806;11 496;14 054;17 594;19 746;22 273;30 145;38,9;3,0;6,1;;;;;;;;;;;
0901;Município;Aguiar da Beira;2 100;29 689;27 572;14 138;4 346;6 840;7 800;8 400;9 259;10 747;12 692;15 648;17 047;18 804;25 410;4 324;6 779;7 746;8 400;9 158;10 358;12 251;15 002;16 500;18 086;23 687;36,0;2,7;5,5;;;;;;;;;;;
1802;Município;Carregal do Sal;3 962;60 983;55 866;15 392;4 836;7 466;8 365;8 722;9 713;11 087;13 301;16 423;18 325;20 772;29 902;4 783;7 426;8 347;8 705;9 364;10 743;12 744;15 693;17 441;19 756;26 839;36,6;2,7;5,6;;;;;;;;;;;
1803;Município;Castro Daire;5 852;76 970;71 817;13 153;4 191;6 154;6 898;7 586;8 680;9 705;11 292;14 157;15 991;17 936;25 386;4 147;6 129;6 869;7 548;8 661;9 548;10 989;13 585;15 273;17 146;23 226;36,6;2,8;5,6;;;;;;;;;;;
1806;Município;Mangualde;8 521;141 473;128 811;16 603;5 342;7 676;8 430;8 962;10 317;12 222;15 093;18 390;20 435;23 262;31 214;5 280;7 644;8 400;8 942;10 030;11 715;14 367;17 441;19 207;21 646;27 913;36,5;2,8;5,3;;;;;;;;;;;
1809;Município;Nelas;6 232;103 650;94 206;16 632;5 136;7 421;8 313;8 853;10 055;11 878;14 518;18 221;20 667;23 309;31 903;5 093;7 399;8 281;8 840;9 755;11 391;13 799;17 321;19 333;21 908;28 318;37,6;3,0;5,6;;;;;;;;;;;
1810;Município;Oliveira de Frades;4 580;69 669;64 295;15 212;4 967;7 395;8 321;8 760;9 880;11 348;13 390;16 773;18 846;21 564;29 269;4 927;7 359;8 297;8 750;9 562;10 899;12 787;15 851;17 899;20 235;26 767;35,5;2,7;5,4;;;;;;;;;;;
1811;Município;Penalva do Castelo;3 133;44 074;41 118;14 068;4 500;6 534;7 515;8 340;9 194;10 507;12 529;15 868;17 575;19 804;27 098;4 450;6 510;7 487;8 322;9 151;10 218;12 019;15 096;16 917;18 715;24 854;35,9;2,9;5,6;;;;;;;;;;;
1814;Município;Santa Comba Dão;5 153;81 116;74 288;15 742;5 143;7 324;8 240;8 689;9 800;11 502;13 714;17 199;19 258;21 865;30 802;5 095;7 298;8 216;8 680;9 515;11 048;13 183;16 204;18 112;20 467;27 353;36,3;2,8;5,4;;;;;;;;;;;
1816;Município;São Pedro do Sul;6 939;104 147;95 490;15 009;4 682;6 815;7 755;8 400;9 366;10 716;12 760;15 974;17 828;20 318;29 100;4 679;6 780;7 701;8 400;9 155;10 399;12 298;15 303;17 003;19 319;26 035;37,5;2,8;5,6;;;;;;;;;;;
1817;Município;Sátão;4 979;73 334;67 546;14 729;4 200;6 462;7 444;8 280;9 174;10 601;12 881;16 320;18 096;20 473;28 664;4 131;6 394;7 337;8 240;9 151;10 350;12 422;15 666;17 361;19 364;26 059;37,9;3,0;6,3;;;;;;;;;;;
