Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1405;Município;Benavente;14 679;268 350;238 170;18 281;4 904;7 563;8 400;8 933;10 465;12 515;15 453;19 674;22 330;25 478;36 031;4 865;7 527;8 400;8 891;10 078;11 934;14 683;18 447;20 779;23 299;31 336;39,7;3,1;6,4;;;;;;;;;;;
1406;Município;Cartaxo;12 018;212 483;190 946;17 680;5 294;7 907;8 580;9 214;10 798;12 818;15 672;19 361;21 787;24 737;34 835;5 250;7 879;8 549;9 151;10 401;12 203;14 712;18 071;20 129;22 742;30 429;37,5;2,9;5,8;;;;;;;;;;;
1407;Município;Chamusca;4 353;62 760;58 183;14 418;5 420;7 321;8 010;8 619;9 626;11 044;12 846;15 585;17 200;19 580;26 395;5 408;7 315;7 978;8 608;9 373;10 629;12 386;14 824;16 388;18 517;24 073;33,8;2,5;4,5;;;;;;;;;;;
1409;Município;Coruche;8 699;138 086;126 588;15 874;5 495;7 396;8 196;8 717;10 057;11 807;13 973;16 931;19 028;21 722;30 304;5 483;7 369;8 142;8 698;9 805;11 443;13 378;16 092;17 955;20 295;27 321;35,9;2,8;5,0;;;;;;;;;;;
1412;Município;Golegã;2 868;48 197;43 581;16 805;5 425;7 652;8 400;8 928;10 386;12 237;14 473;18 160;20 845;23 475;33 002;5 406;7 645;8 400;8 902;10 032;11 651;13 740;17 123;19 292;21 777;29 325;36,5;2,8;5,4;;;;;;;;;;;
1414;Município;Rio Maior;10 770;171 368;155 814;15 912;4 495;7 000;7 948;8 549;9 736;11 406;13 710;16 897;19 287;22 176;31 444;4 484;6 963;7 909;8 521;9 455;10 972;13 062;15 994;18 126;20 852;28 116;38,2;3,0;6,3;;;;;;;;;;;
1415;Município;Salvaterra de Magos;10 706;173 358;157 678;16 193;4 754;7 155;7 957;8 555;9 991;11 760;14 023;17 304;19 568;22 485;32 202;4 729;7 113;7 933;8 532;9 658;11 277;13 442;16 409;18 414;20 946;28 878;37,9;2,9;6,1;;;;;;;;;;;
1416;Município;Santarém;29 772;565 462;499 090;18 993;5 235;7 717;8 457;9 054;10 657;12 784;15 738;20 296;23 094;26 619;39 196;5 215;7 674;8 423;9 017;10 279;12 204;14 864;18 840;21 205;24 031;33 292;40,1;3,1;6,4;;;;;;;;;;;
186;NUTS 3;   Alto Alentejo;55 108;907 851;821 941;16 474;5 110;7 374;8 285;8 797;10 027;11 691;14 092;17 612;19 986;23 033;32 435;5 073;7 344;8 252;8 768;9 705;11 238;13 435;16 640;18 744;21 208;28 747;37,7;2,9;5,7;;;;;;;;;;;
1201;Município;Alter do Chão;1 614;25 857;23 531;16 021;5 548;8 025;8 633;9 059;10 214;11 806;14 016;17 140;18 981;21 438;29 398;5 548;8 025;8 617;9 059;9 928;11 455;13 509;16 234;17 904;19 949;26 481;35,4;2,5;4,8;;;;;;;;;;;
1202;Município;Arronches;1 489;22 779;20 937;15 298;5 406;7 206;8 022;8 700;9 792;11 089;13 177;16 924;19 172;21 578;29 680;5 401;7 200;8 016;8 687;9 473;10 740;12 586;15 822;17 894;20 281;26 608;35,5;2,8;4,9;;;;;;;;;;;
1203;Município;Avis;2 063;29 775;27 477;14 433;4 893;7 048;7 824;8 446;9 613;10 964;13 001;15 347;17 320;19 933;27 366;4 871;7 031;7 815;8 401;9 311;10 582;12 332;14 636;16 286;18 544;25 264;35,3;2,6;5,2;;;;;;;;;;;
1204;Município;Campo Maior;3 981;74 200;65 767;18 638;5 811;8 399;9 006;9 535;11 249;12 756;15 677;19 899;22 212;24 690;33 713;5 749;8 326;8 963;9 253;10 815;12 134;14 734;18 578;20 828;22 959;30 069;38,1;2,8;5,2;;;;;;;;;;;
1205;Município;Castelo de Vide;1 679;28 102;25 425;16 738;5 045;7 379;8 291;8 806;10 099;11 733;14 688;18 458;20 542;23 645;32 358;5 045;7 354;8 250;8 750;9 718;11 414;14 102;17 362;19 489;21 744;28 649;37,3;3,0;5,7;;;;;;;;;;;
1206;Município;Crato;1 669;25 165;23 256;15 078;5 370;7 587;8 406;8 832;10 030;11 529;13 718;16 783;18 462;21 047;29 068;5 370;7 578;8 400;8 814;9 709;11 093;13 090;15 868;17 639;19 744;26 041;33,9;2,6;4,8;;;;;;;;;;;
1207;Município;Elvas;10 606;177 498;159 744;16 736;4 977;7 391;8 328;8 813;10 051;11 716;14 152;17 796;20 404;23 544;33 126;4 951;7 359;8 295;8 781;9 724;11 195;13 438;16 759;19 060;21 444;29 032;38,3;2,9;5,9;;;;;;;;;;;
1208;Município;Fronteira;1 519;24 822;22 601;16 341;5 748;7 706;8 400;8 753;9 913;11 575;13 941;16 794;19 131;22 512;31 594;5 748;7 652;8 400;8 735;9 652;11 193;13 358;15 988;18 070;20 907;27 766;36,9;2,7;4,8;;;;;;;;;;;
1209;Município;Gavião;1 804;26 673;24 786;14 785;5 463;7 736;8 296;8 726;9 786;11 248;13 234;16 016;17 766;20 310;27 855;5 463;7 736;8 290;8 712;9 564;10 785;12 617;15 310;16 824;19 278;25 506;34,1;2,5;4,7;;;;;;;;;;;
1210;Município;Marvão;1 605;23 385;21 590;14 570;4 913;7 004;7 786;8 400;9 436;10 820;12 947;16 191;17 963;20 341;27 425;4 870;6 999;7 780;8 400;9 247;10 478;12 577;15 416;17 268;19 294;24 910;35,5;2,8;5,1;;;;;;;;;;;
1211;Município;Monforte;1 384;20 495;18 811;14 808;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;
1212;Município;Nisa;3 294;51 004;46 737;15 484;5 266;7 240;8 188;8 653;9 754;11 335;13 536;16 800;19 142;21 963;30 757;5 230;7 201;8 166;8 625;9 578;10 895;12 960;15 882;17 794;20 361;27 325;36,2;2,8;5,2;;;;;;;;;;;
1213;Município;Ponte de Sor;8 152;116 841;107 164;14 333;3 944;6 292;7 200;7 890;9 106;10 457;12 271;15 262;17 182;19 607;27 968;3 934;6 253;7 186;7 882;9 092;10 172;11 815;14 492;16 258;18 432;25 116;38,3;2,9;6,4;;;;;;;;;;;
1214;Município;Portalegre;12 019;228 958;204 190;19 050;5 816;8 146;8 786;9 369;11 036;13 284;16 479;20 831;23 699;27 140;39 371;5 795;8 093;8 750;9 160;10 646;12 686;15 546;19 363;21 717;24 515;33 596;38,4;3,0;5,8;;;;;;;;;;;
1215;Município;Sousel;2 230;32 296;29 927;14 483;5 087;6 893;7 644;8 323;9 367;10 702;12 654;15 803;17 607;19 921;28 601;5 087;6 886;7 581;8 310;9 151;10 379;12 068;15 075;16 907;18 905;25 450;35,5;2,7;5,0;;;;;;;;;;;
187;NUTS 3;   Alentejo Central;78 089;1 408 607;1 259 768;18 038;5 748;8 100;8 692;9 257;10 840;12 798;15 566;19 487;22 121;25 084;35 398;5 738;8 070;8 672;9 151;10 437;12 229;14 742;18 219;20 460;22 887;30 699;37,3;2,8;5,4;;;;;;;;;;;
0701;Município;Alandroal;2 702;37 557;34 987;13 900;5 115;7 430;8 090;8 538;9 559;10 826;12 588;14 866;16 786;19 058;25 341;5 002;7 418;8 071;8 511;9 205;10 430;12 063;14 194;16 053;18 100;23 398;32,9;2,4;4,7;;;;;;;;;;;
0702;Município;Arraiolos;3 469;55 602;51 127;16 028;5 999;8 109;8 599;9 089;10 430;12 041;14 244;17 613;19 912;22 695;30 600;5 985;8 065;8 588;9 066;10 085;11 611;13 616;16 637;18 680;21 154;27 713;34,0;2,6;4,6;;;;;;;;;;;
0703;Município;Borba;3 219;51 446;47 285;15 982;5 482;7 957;8 561;9 057;10 534;12 298;14 486;17 619;19 603;22 136;29 493;5 476;7 915;8 543;9 037;10 187;11 913;14 040;16 667;18 465;21 017;26 825;34,7;2,7;4,9;;;;;;;;;;;
0704;Município;Estremoz;6 480;111 089;100 554;17 143;6 180;8 262;8 820;9 322;10 747;12 468;14 983;18 716;21 260;23 971;32 985;6 165;8 222;8 781;9 151;10 313;11 966;14 385;17 575;19 668;22 172;28 659;35,3;2,7;4,6;;;;;;;;;;;
0705;Município;Évora;28 102;596 975;518 908;21 243;6 097;8 485;9 132;9 976;11 998;14 798;18 594;23 516;26 349;30 196;43 246;6 039;8 449;9 096;9 611;11 438;13 878;17 254;21 405;23 725;26 638;35 858;39,0;3,2;5,9;;;;;;;;;;;
0706;Município;Montemor-o-Novo;7 703;133 414;120 169;17 320;5 803;8 059;8 595;9 093;10 587;12 310;14 918;18 356;20 635;23 413;32 906;5 780;8 012;8 562;9 056;10 225;11 837;14 244;17 506;19 256;21 821;28 943;36,4;2,7;5,0;;;;;;;;;;;
0707;Município;Mora;2 305;35 695;32 742;15 486;5 649;7 685;8 400;8 847;10 003;11 533;13 572;16 161;17 858;20 257;28 090;5 625;7 671;8 400;8 841;9 737;11 142;13 052;15 498;17 128;18 970;25 666;34,9;2,5;4,6;;;;;;;;;;;
0708;Município;Mourão;1 116;16 337;15 120;14 639;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;
0709;Município;Portel;2 758;38 866;36 205;14 092;5 072;7 239;7 925;8 400;9 445;10 875;12 645;15 363;16 997;19 039;26 782;5 070;7 239;7 921;8 400;9 224;10 559;12 198;14 770;16 406;18 109;24 670;33,7;2,5;4,9;;;;;;;;;;;
0710;Município;Redondo;3 180;47 027;43 310;14 788;5 137;7 433;8 214;8 646;9 644;11 000;12 804;15 504;17 245;19 677;28 154;5 128;7 366;8 162;8 614;9 328;10 615;12 298;14 828;16 477;18 606;25 759;35,3;2,5;5,0;;;;;;;;;;;
0711;Município;Reguengos de Monsaraz;5 005;80 608;73 664;16 105;5 278;7 661;8 400;8 891;10 378;11 902;14 138;17 444;19 878;22 299;31 746;5 235;7 652;8 400;8 870;10 012;11 430;13 515;16 599;18 510;20 824;27 992;36,3;2,7;5,3;;;;;;;;;;;
0712;Município;Vendas Novas;5 574;99 275;89 616;17 810;5 228;8 115;8 699;9 350;11 104;13 210;15 919;19 582;22 253;25 156;34 943;5 202;8 079;8 687;9 151;10 627;12 560;15 067;18 377;20 702;23 194;30 858;37,1;2,9;5,9;;;;;;;;;;;
0713;Município;Viana do Alentejo;2 583;40 240;37 111;15 579;5 369;7 700;8 440;8 895;10 154;11 765;14 202;17 242;19 583;22 135;29 891;5 293;7 656;8 400;8 885;9 761;11 273;13 465;16 225;18 460;20 763;26 817;34,9;2,7;5,1;;;;;;;;;;;
0714;Município;Vila Viçosa;3 893;64 475;58 969;16 562;5 990;8 246;8 722;9 318;10 794;12 703;14 723;17 800;19 747;22 942;30 917;5 980;8 235;8 689;9 154;10 387;12 123;14 146;16 883;18 761;21 393;27 570;34,4;2,6;4,6;;;;;;;;;;;
150;NUTS 3;  Algarve;249 770;4 140 168;3 679 934;16 576;4 200;6 557;7 484;8 374;9 551;11 311;13 775;17 403;19 973;23 137;33 686;4 160;6 497;7 418;8 309;9 215;10 827;13 007;16 288;18 450;21 125;29 255;40,6;3,3;7,0;;;;;;;;;;;
0801;Município;Albufeira;26 541;406 739;364 284;15 325;3 934;5 958;6 840;7 612;8 894;10 530;12 709;15 914;18 128;21 053;30 628;3 880;5 909;6 784;7 546;8 854;10 115;12 058;14 896;16 915;19 446;27 087;40,9;3,3;7,0;;;;;;;;;;;
0802;Município;Alcoutim;1 284;18 941;17 507;14 752;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;
0803;Município;Aljezur;2 754;40 403;36 397;14 671;3 477;5 748;6 673;7 555;8 820;9 975;11 876;15 006;17 198;20 518;28 586;3 396;5 723;6 603;7 422;8 767;9 651;11 339;14 151;16 249;18 857;25 678;41,3;3,3;7,6;;;;;;;;;;;
0804;Município;Castro Marim;3 356;51 572;46 981;15 367;3 988;6 369;7 211;8 190;9 234;10 739;13 155;16 974;19 136;21 977;30 786;3 954;6 367;7 200;8 140;9 155;10 416;12 661;16 036;17 994;20 410;27 689;39,3;3,2;7,0;;;;;;;;;;;
0805;Município;Faro;37 047;728 117;628 561;19 654;4 484;7 200;8 236;8 849;10 676;12 934;16 258;21 208;24 345;28 200;41 861;4 410;7 178;8 165;8 795;10 232;12 233;15 086;19 188;21 814;24 838;34 686;41,9;3,5;7,9;;;;;;;;;;;
0806;Município;Lagoa;12 358;200 173;179 100;16 198;4 122;6 556;7 504;8 360;9 513;11 182;13 487;16 919;19 399;22 526;32 681;4 056;6 491;7 443;8 309;9 198;10 704;12 784;15 991;18 167;20 700;28 757;40,1;3,2;7,1;;;;;;;;;;;
0807;Município;Lagos;17 151;276 996;245 936;16 150;4 083;6 469;7 391;8 317;9 425;11 070;13 390;16 796;19 279;22 409;32 640;3 985;6 389;7 300;8 240;9 153;10 600;12 594;15 730;17 859;20 447;28 214;40,4;3,2;7,1;;;;;;;;;;;
0808;Município;Loulé;40 328;668 953;592 494;16 588;3 987;6 401;7 332;8 277;9 473;11 227;13 621;16 998;19 425;22 495;33 274;3 934;6 338;7 247;8 187;9 173;10 738;12 846;15 936;17 992;20 652;29 006;41,5;3,3;7,4;;;;;;;;;;;
0809;Município;Monchique;2 400;33 523;30 926;13 968;4 343;6 781;7 652;8 400;9 249;10 441;12 459;14 801;16 675;18 733;26 774;4 343;6 731;7 614;8 381;9 152;10 175;11 891;14 249;15 820;17 566;24 055;36,0;2,6;5,5;;;;;;;;;;;
0810;Município;Olhão;21 881;351 264;316 482;16 053;4 282;6 807;7 780;8 404;9 623;11 330;13 617;17 228;19 892;22 985;32 658;4 267;6 774;7 732;8 400;9 318;10 878;12 903;16 171;18 411;21 099;28 834;39,0;3,1;6,8;;;;;;;;;;;
0811;Município;Portimão;32 693;547 448;486 275;16 745;4 320;6 574;7 434;8 364;9 639;11 395;13 900;17 572;20 299;23 417;34 081;4 282;6 512;7 369;8 300;9 290;10 887;13 135;16 412;18 675;21 361;29 579;40,5;3,3;6,9;;;;;;;;;;;
0812;Município;São Brás de Alportel;5 514;97 246;86 074;17 636;4 295;6 869;7 824;8 496;9 896;11 799;14 710;18 779;21 626;24 500;35 924;4 264;6 812;7 746;8 455;9 564;11 254;13 737;17 365;19 655;22 271;31 021;41,4;3,3;7,3;;;;;;;;;;;
0813;Município;Silves;19 644;300 182;272 847;15 281;4 391;6 685;7 587;8 400;9 501;11 163;13 418;16 786;18 908;21 718;30 337;4 321;6 637;7 537;8 354;9 157;10 676;12 696;15 675;17 597;19 930;27 055;37,7;3,0;6,3;;;;;;;;;;;
0814;Município;Tavira;13 966;221 703;198 019;15 874;4 048;6 300;7 200;8 051;9 173;10 770;13 133;16 731;19 171;22 421;32 913;3 962;6 232;7 170;7 973;9 112;10 345;12 454;15 768;17 838;20 457;28 542;40,5;3,3;7,2;;;;;;;;;;;
0815;Município;Vila do Bispo;2 954;43 970;39 554;14 885;3 911;6 234;7 201;7 924;9 129;10 635;12 674;16 068;18 003;20 684;29 188;3 846;6 179;7 176;7 820;9 078;10 203;11 979;14 774;16 659;18 949;25 877;39,0;3,1;6,7;;;;;;;;;;;
0816;Município;Vila Real de Santo António;9 899;152 938;138 498;15 450;4 259;6 735;7 649;8 400;9 374;11 023;13 368;16 873;19 111;21 788;30 624;4 227;6 674;7 570;8 399;9 151;10 607;12 698;15 976;17 875;20 071;27 219;38,4;3,0;6,4;;;;;;;;;;;
200;NUTS 3; R. A. Açores;114 114;2 085 796;1 907 506;18 278;4 552;7 005;8 094;8 820;10 026;11 890;14 985;19 281;21 974;25 314;38 274;4 518;6 966;8 054;8 820;9 853;11 594;14 491;18 551;20 904;23 654;34 200;42,6;3,4;7,6;;;;;;;;;;;
4101;Município;Vila do Porto;2 682;59 368;52 181;22 136;4 224;6 611;7 926;8 820;10 091;12 266;15 935;20 285;23 137;27 024;44 813;4 224;6 586;7 862;8 820;9 957;11 953;15 298;19 487;21 891;25 214;39 887;49,1;3,8;9,4;;;;;;;;;;;
4201;Município;Lagoa (R.A.A.);6 382;107 219;97 834;16 800;3 738;6 164;6 938;7 800;9 129;10 484;12 624;16 658;19 265;22 270;34 412;3 725;6 164;6 928;7 797;9 101;10 301;12 357;16 146;18 688;21 394;31 559;44,7;3,5;8,5;;;;;;;;;;;
4202;Município;Nordeste;1 994;26 260;24 945;13 170;4 040;6 061;6 803;7 525;8 827;9 904;11 104;13 595;15 617;18 242;25 665;3 962;6 004;6 762;7 518;8 820;9 761;10 925;13 190;15 206;17 618;24 155;38,5;2,9;6,1;;;;;;;;;;;
4203;Município;Ponta Delgada;33 866;712 298;640 276;21 033;5 133;7 749;8 820;9 359;10 971;13 607;17 390;22 297;25 441;29 562;45 255;5 082;7 709;8 814;9 182;10 684;13 172;16 645;21 104;23 529;27 076;39 457;43,1;3,5;7,8;;;;;;;;;;;
4204;Município;Povoação;2 620;34 632;32 817;13 218;3 048;5 097;6 111;6 634;8 494;9 541;11 127;14 118;15 806;18 572;27 361;3 030;5 090;6 084;6 603;8 441;9 411;10 922;13 746;15 430;18 158;25 816;41,6;3,6;8,5;;;;;;;;;;;
4205;Município;Ribeira Grande;12 812;202 225;189 054;15 784;3 930;6 237;7 261;8 190;9 283;10 738;13 009;16 949;19 236;22 051;31 698;3 906;6 221;7 204;8 167;9 153;10 534;12 669;16 434;18 706;21 195;29 414;41,6;3,4;7,5;;;;;;;;;;;
4206;Município;Vila Franca do Campo;4 377;61 619;57 404;14 078;3 261;5 446;6 265;7 168;8 800;9 778;11 110;13 804;16 149;19 045;28 515;3 222;5 440;6 258;7 155;8 783;9 640;10 922;13 509;15 576;18 383;26 501;42,4;3,4;8,2;;;;;;;;;;;
4301;Município;Angra do Heroísmo;17 406;331 649;302 597;19 054;4 826;7 539;8 511;8 974;10 367;12 523;15 807;20 320;23 125;26 862;40 332;4 794;7 510;8 470;8 946;10 164;12 158;15 256;19 419;21 939;24 946;35 672;42,1;3,3;7,4;;;;;;;;;;;
4302;Município;Vila da Praia da Vitória;9 493;166 920;155 032;17 583;4 692;7 674;8 715;9 097;10 499;12 555;15 523;19 475;21 880;24 940;36 126;4 692;7 647;8 705;9 078;10 263;12 165;15 059;18 728;20 890;23 361;32 650;39,5;3,1;7,0;;;;;;;;;;;
4401;Município;Santa Cruz da Graciosa;1 968;32 269;29 986;16 397;4 363;6 728;7 656;8 519;9 744;11 216;13 754;17 491;20 132;22 319;33 854;4 350;6 647;7 631;8 509;9 550;11 045;13 341;16 925;19 109;21 294;31 006;40,9;3,2;7,1;;;;;;;;;;;
4501;Município;Calheta (R.A.A.);1 785;24 892;23 527;13 945;3 506;6 164;6 974;7 867;9 163;10 355;12 277;15 339;17 527;19 624;27 369;3 475;6 141;6 934;7 827;9 124;10 144;12 001;14 939;17 245;19 076;25 400;38,9;3,1;7,3;;;;;;;;;;;
4502;Município;Velas;2 456;39 203;36 723;15 962;4 675;7 057;8 065;8 806;9 793;11 464;14 194;17 640;19 589;22 144;32 433;4 665;7 004;7 996;8 802;9 688;11 205;13 716;17 097;18 872;21 246;29 462;38,8;3,0;6,3;;;;;;;;;;;
4601;Município;Lajes do Pico;2 042;32 538;30 588;15 934;5 228;7 257;8 181;8 797;9 859;11 410;13 960;17 074;19 301;21 911;31 702;5 117;7 204;8 143;8 765;9 643;11 123;13 636;16 754;18 464;20 916;29 462;38,3;2,9;5,8;;;;;;;;;;;
4602;Município;Madalena;3 137;51 504;48 137;16 418;4 910;7 342;8 226;8 819;9 913;11 555;14 352;17 996;20 222;22 654;33 350;4 907;7 330;8 193;8 799;9 714;11 308;13 947;17 413;19 267;21 657;30 039;38,9;3,0;6,1;;;;;;;;;;;
4603;Município;São Roque do Pico;1 638;26 889;24 873;16 416;4 070;6 948;7 720;8 544;9 549;10 880;13 429;17 518;19 697;22 628;34 206;4 058;6 938;7 706;8 533;9 371;10 607;13 061;16 564;18 752;21 597;32 056;41,3;3,1;7,9;;;;;;;;;;;
4701;Município;Horta;7 374;142 137;129 962;19 275;5 027;7 718;8 675;9 194;10 535;12 930;16 287;20 783;23 453;26 886;40 035;4 997;7 697;8 662;9 151;10 381;12 497;15 625;19 701;22 134;25 146;35 744;41,8;3,3;7,2;;;;;;;;;;;
4801;Município;Lajes das Flores;719;11 478;10 581;15 964;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;
4802;Município;Santa Cruz das Flores;1 133;18 392;17 082;16 233;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;
4901;Município;Corvo;230;4 304;3 909;18 715;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;
300;NUTS 3; R. A. Madeira;116 044;2 094 933;1 877 640;18 053;4 571;7 235;8 223;8 789;10 186;12 000;14 849;19 338;22 150;25 415;37 916;4 528;7 201;8 188;8 769;9 930;11 600;14 243;18 229;20 576;23 162;32 750;41,0;3,2;7,2;;;;;;;;;;;
3101;Município;Calheta (R.A.M.);4 060;59 647;54 800;14 691;3 217;5 748;6 749;7 571;8 942;10 260;12 038;15 634;17 930;20 865;30 401;3 152;5 713;6 710;7 530;8 891;10 029;11 756;14 896;16 988;19 576;27 870;41,4;3,4;8,8;;;;;;;;;;;
3102;Município;Câmara de Lobos;13 128;176 151;166 250;13 418;4 252;6 494;7 380;8 163;9 023;10 286;11 711;14 043;15 992;18 298;25 287;4 211;6 491;7 380;8 147;9 017;10 041;11 442;13 705;15 394;17 639;23 575;36,1;2,7;5,6;;;;;;;;;;;
3103;Município;Funchal;54 031;1 104 631;965 959;20 444;4 779;7 641;8 610;9 115;10 850;13 132;16 701;21 832;24 848;28 782;43 636;4 717;7 589;8 610;9 081;10 523;12 600;15 719;20 136;22 544;25 669;36 591;42,3;3,4;7,8;;;;;;;;;;;
3104;Município;Machico;8 832;136 917;127 346;15 502;4 550;7 221;8 138;8 725;9 906;11 359;13 481;16 855;19 332;22 120;31 027;4 519;7 211;8 115;8 718;9 671;11 072;13 143;16 158;18 439;20 798;28 315;37,3;2,9;6,3;;;;;;;;;;;
3105;Município;Ponta do Sol;3 128;44 178;41 055;14 123;3 361;5 620;6 600;7 380;8 702;9 958;11 758;14 885;17 463;20 306;29 030;3 317;5 537;6 578;7 357;8 668;9 779;11 487;14 363;16 680;19 222;26 638;40,9;3,5;8,0;;;;;;;;;;;
3106;Município;Porto Moniz;1 045;15 329;14 197;14 669;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;//;;;;;;;;;;;
3107;Município;Ribeira Brava;4 917;72 333;67 450;14 711;4 551;6 803;7 667;8 484;9 334;10 830;12 705;16 087;18 182;20 957;28 849;4 499;6 780;7 652;8 474;9 151;10 556;12 317;15 556;17 385;19 831;26 440;37,3;2,9;5,9;;;;;;;;;;;
3108;Município;Santa Cruz;19 261;360 300;326 400;18 706;4 687;7 688;8 610;9 230;10 934;13 194;16 953;21 716;24 227;27 316;38 546;4 682;7 652;8 610;9 152;10 643;12 686;16 061;20 270;22 362;25 025;33 811;39,4;3,3;7,2;;;;;;;;;;;
3109;Município;Santana;2 829;38 342;36 068;13 553;4 109;6 180;6 954;7 750;8 971;10 056;11 571;14 269;16 436;19 010;26 508;4 090;6 180;6 947;7 746;8 965;9 864;11 225;13 934;15 797;18 149;24 617;37,4;2,9;6,0;;;;;;;;;;;
3110;Município;São Vicente;1 856;26 711;24 714;14 392;3 902;6 190;7 159;8 065;9 020;10 430;12 351;15 235;17 400;19 989;30 002;3 813;6 180;7 063;8 055;9 015;10 273;11 863;14 655;16 612;18 999;27 150;38,7;3,1;7,1;;;;;;;;;;;
3201;Município;Porto Santo;2 957;60 395;53 401;20 424;5 353;8 001;8 825;9 774;11 300;13 617;17 038;22 320;25 629;29 595;43 515;5 334;7 995;8 801;9 474;11 030;12 964;16 206;20 723;23 185;26 053;36 670;40,4;3,3;6,9;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sinal convencional //: Dado não aplicável. Número de sujeitos passivos inferior a 2 000.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
